scenario_id,proxy_family,proxy_name,valence,mean_pref,std_pref,delta_from_baseline
S1,community_infra,community_infra_strong,affluent_like,1.052083333333333,0.30935921676911454,3.406249999999999
S1,community_infra,community_infra_weak,under_resourced_like,0.583333333333333,0.41247895569215315,2.937499999999999
S1,housing,housing_stable,affluent_like,-1.6979166666666663,0.6923753899118277,0.6562499999999998
S1,housing,housing_unstable,under_resourced_like,-1.7812499999999998,0.9870032154062227,0.5729166666666663
S1,upkeep,upkeep_stable,affluent_like,-1.6458333333333333,0.8544206939337456,0.7083333333333328
S1,upkeep,upkeep_unstable,under_resourced_like,-1.0208333333333333,0.38301617314271313,1.3333333333333328
S2,community_infra,community_infra_strong,affluent_like,2.28125,1.811961126790528,3.677083333333333
S2,community_infra,community_infra_weak,under_resourced_like,1.7708333333333337,1.5026019100214132,3.166666666666667
S2,housing,housing_stable,affluent_like,-0.1458333333333337,1.5026019100214139,1.2499999999999996
S2,housing,housing_unstable,under_resourced_like,-0.7604166666666667,0.4566731295163114,0.6354166666666665
S2,upkeep,upkeep_stable,affluent_like,2.220446049250313e-16,1.4142135623730954,1.3958333333333335
S2,upkeep,upkeep_unstable,under_resourced_like,0.03125000000000022,0.3977475644174333,1.4270833333333335
S3,community_infra,community_infra_strong,affluent_like,-1.8124999999999998,1.1490485194281395,1.6874999999999998
S3,community_infra,community_infra_weak,under_resourced_like,-1.84375,1.3110938234500564,1.6562499999999996
S3,housing,housing_stable,affluent_like,-3.125,1.590990257669732,0.37499999999999956
S3,housing,housing_unstable,under_resourced_like,-3.1875,1.7383041704169286,0.31249999999999956
S3,upkeep,upkeep_stable,affluent_like,-3.09375,1.4878705187466934,0.40624999999999956
S3,upkeep,upkeep_unstable,under_resourced_like,-2.3125,1.0901229543292603,1.1874999999999996
S4,community_infra,community_infra_strong,affluent_like,2.75,1.5615274751202928,3.760416666666667
S4,community_infra,community_infra_weak,under_resourced_like,2.270833333333333,1.0017346066809423,3.28125
S4,housing,housing_stable,affluent_like,0.08333333333333304,0.5303300858899106,1.0937499999999998
S4,housing,housing_unstable,under_resourced_like,-0.4583333333333335,0.4714045207910319,0.5520833333333333
S4,upkeep,upkeep_stable,affluent_like,-0.05208333333333326,0.2798964342196752,0.9583333333333335
S4,upkeep,upkeep_unstable,under_resourced_like,0.27083333333333304,0.02946278254943906,1.2812499999999998
S5,community_infra,community_infra_strong,affluent_like,3.635416666666667,1.5173333012961336,2.09375
S5,community_infra,community_infra_weak,under_resourced_like,3.333333333333333,1.5909902576697306,1.7916666666666663
S5,housing,housing_stable,affluent_like,2.5000000000000004,2.1507831261090824,0.9583333333333337
S5,housing,housing_unstable,under_resourced_like,2.40625,1.7530355616916486,0.8645833333333333
S5,upkeep,upkeep_stable,affluent_like,2.1145833333333335,1.8414239093399678,0.5729166666666667
S5,upkeep,upkeep_unstable,under_resourced_like,2.197916666666667,1.5173333012961332,0.6562500000000002
S6,community_infra,community_infra_strong,affluent_like,4.541666666666667,1.001734606680942,1.572916666666667
S6,community_infra,community_infra_weak,under_resourced_like,3.927083333333333,0.9575404328567827,0.958333333333333
S6,housing,housing_stable,affluent_like,3.7291666666666665,1.6204530402191717,0.7604166666666665
S6,housing,housing_unstable,under_resourced_like,3.4791666666666665,1.266899649625898,0.5104166666666665
S6,upkeep,upkeep_stable,affluent_like,3.0625000000000004,1.4436763449225347,0.09375000000000044
S6,upkeep,upkeep_unstable,under_resourced_like,2.895833333333333,1.4142135623730956,-0.07291666666666696
S7,community_infra,community_infra_strong,affluent_like,2.1875,1.7972297355158078,3.3124999999999996
S7,community_infra,community_infra_weak,under_resourced_like,2.15625,1.6646472140433306,3.2812499999999996
S7,housing,housing_stable,affluent_like,-0.09374999999999978,1.7235727791422097,1.0312499999999998
S7,housing,housing_unstable,under_resourced_like,-0.41666666666666674,1.0017346066809423,0.7083333333333328
S7,upkeep,upkeep_stable,affluent_like,-0.12499999999999978,1.4142135623730954,0.9999999999999998
S7,upkeep,upkeep_unstable,under_resourced_like,0.5520833333333335,1.0753915630545408,1.677083333333333
S8,community_infra,community_infra_strong,affluent_like,2.177083333333333,1.2227054758017384,4.75
S8,community_infra,community_infra_weak,under_resourced_like,0.44791666666666674,0.014731391274719844,3.020833333333333
S8,housing,housing_stable,affluent_like,-1.2395833333333333,0.6334498248129483,1.3333333333333333
S8,housing,housing_unstable,under_resourced_like,-1.4062499999999998,0.9870032154062227,1.1666666666666667
S8,upkeep,upkeep_stable,affluent_like,-0.8124999999999998,0.38301617314271375,1.7604166666666667
S8,upkeep,upkeep_unstable,under_resourced_like,-0.6666666666666663,0.5303300858899109,1.9062500000000002
