experiment,scenario_id,swap_order,control_avg_logprob,prevention_avg_logprob,prevention_minus_control
baseline,S1,False,-5.291666666666667,-3.2291666666666665,2.0625000000000004
baseline,S1,True,-5.875,-3.5,2.375
baseline,S2,False,-4.708333333333333,-3.5416666666666665,1.1666666666666665
baseline,S2,True,-5.958333333333333,-3.2708333333333335,2.6874999999999996
baseline,S3,False,-5.020833333333333,-3.3958333333333335,1.6249999999999996
baseline,S3,True,-5.583333333333333,-3.0208333333333335,2.5624999999999996
baseline,S4,False,-4.916666666666667,-3.6041666666666665,1.3125000000000004
baseline,S4,True,-5.625,-3.25,2.375
baseline,S5,False,-5.041666666666667,-3.5416666666666665,1.5000000000000004
baseline,S5,True,-5.75,-3.3125,2.4375
baseline,S6,False,-4.770833333333333,-3.8125,0.958333333333333
baseline,S6,True,-5.791666666666667,-3.2708333333333335,2.5208333333333335
baseline,S7,False,-5.145833333333333,-3.5208333333333335,1.6249999999999996
baseline,S7,True,-5.916666666666667,-3.4791666666666665,2.4375000000000004
baseline,S8,False,-4.979166666666667,-3.75,1.229166666666667
baseline,S8,True,-5.583333333333333,-3.5416666666666665,2.0416666666666665
